"player","team_abbrev","year","type","avg_hr_trot","doubters","mostly_gone","no_doubters","no_doubter_per","hr_total","xhr","xhr_diff"
"Judge, Aaron","NYY","2024","adj_xhr","23.9",12,33,30,"51.7","58",53.7,"4.3"
"Ohtani, Shohei","LAD","2024","adj_xhr","23.3",16,26,32,"58.2","55",51.6,"3.4"
"Santander, Anthony","BAL","2024","adj_xhr","28.1",10,22,20,"45.5","44",36.7,"7.3"
"Soto, Juan","NYY","2024","adj_xhr","27.2",15,25,25,"61","41",44,"-3.0"
"Ramírez, José","CLE","2024","adj_xhr","24.8",11,27,18,"45","40",39.5,"0.5"
"Rooker, Brent","OAK","2024","adj_xhr","23.5",9,21,24,"61.5","39",40,"-1.0"
"Ozuna, Marcell","ATL","2024","adj_xhr","30.2",17,29,19,"48.7","39",42.8,"-3.8"
"Schwarber, Kyle","PHI","2024","adj_xhr","25.3",5,21,23,"59","39",38.4,"0.6"
"Alonso, Pete","NYM","2024","adj_xhr","22.8",7,19,21,"56.8","37",34.4,"2.6"
"Henderson, Gunnar","BAL","2024","adj_xhr","23.2",11,24,12,"32.4","37",32.9,"4.1"
"Marte, Ketel","AZ","2024","adj_xhr","23.5",10,18,16,"44.4","36",30.9,"5.1"
"Hernández, Teoscar","LAD","2024","adj_xhr","25.2",5,24,14,"40","35",33.5,"1.5"
"Alvarez, Yordan","HOU","2024","adj_xhr","27.4",12,21,15,"42.9","35",29.6,"5.4"
"Raleigh, Cal","SEA","2024","adj_xhr","23.4",14,18,19,"55.9","34",33.1,"0.9"
"Lindor, Francisco","NYM","2024","adj_xhr","23.6",11,21,17,"50","34",31.9,"2.1"
"Adames, Willy","MIL","2024","adj_xhr","24.8",15,25,10,"31.3","32",31.8,"0.2"
"Witt Jr., Bobby","KC","2024","adj_xhr","21.1",13,24,21,"65.6","32",37.6,"-5.6"
"O'Neill, Tyler","BOS","2024","adj_xhr","21.2",7,17,15,"48.4","31",29.4,"1.6"
"Harper, Bryce","PHI","2024","adj_xhr","26",13,18,11,"35.5","31",25.9,"5.1"
"Naylor, Josh","CLE","2024","adj_xhr","27.8",7,20,13,"41.9","31",29.1,"1.9"
"Guerrero Jr., Vladimir","TOR","2024","adj_xhr","27.9",15,22,15,"50","30",31.8,"-1.8"
"Suárez, Eugenio","AZ","2024","adj_xhr","24.8",8,23,10,"33.3","30",26,"4.0"
"Machado, Manny","SD","2024","adj_xhr","28.4",11,24,10,"33.3","30",28.2,"1.8"
"Seager, Corey","TEX","2024","adj_xhr","22.6",17,21,8,"26.7","30",26.9,"3.1"
"Olson, Matt","ATL","2024","adj_xhr","25",13,24,12,"41.4","29",29.4,"-0.4"
"Burger, Jake","MIA","2024","adj_xhr","23.1",12,14,17,"58.6","29",27.9,"1.1"
"Vientos, Mark","NYM","2024","adj_xhr","23.2",4,18,11,"37.9","29",24.3,"4.7"
"Langeliers, Shea","OAK","2024","adj_xhr","22.7",5,16,15,"51.7","29",28.1,"0.9"
"Stanton, Giancarlo","NYY","2024","adj_xhr","23.6",14,15,16,"57.1","28",30.1,"-2.1"
"Devers, Rafael","BOS","2024","adj_xhr","24.4",8,21,12,"42.9","28",26.7,"1.3"
"Perez, Salvador","KC","2024","adj_xhr","27.5",14,22,16,"57.1","28",32.7,"-4.7"
"Chapman, Matt","SF","2024","adj_xhr","22.6",14,19,11,"40.7","27",26.1,"0.9"
"Walker, Christian","AZ","2024","adj_xhr","25.2",9,15,13,"50","26",25.2,"0.8"
"Bregman, Alex","HOU","2024","adj_xhr","23",9,23,6,"23.1","26",23.7,"2.3"
"Hoskins, Rhys","MIL","2024","adj_xhr","22.6",9,14,11,"42.3","26",22.8,"3.2"
"Tovar, Ezequiel","COL","2024","adj_xhr","22.5",5,19,10,"38.5","26",25.3,"0.7"
"Chisholm Jr., Jazz","NYY","2024","adj_xhr","26.7",11,15,10,"40","25",23.9,"1.1"
"Happ, Ian","CHC","2024","adj_xhr","22.7",9,23,8,"32","25",23.8,"1.2"
"Ward, Taylor","LAA","2024","adj_xhr","24.2",15,21,7,"28","25",23.4,"1.6"
"García, Adolis","TEX","2024","adj_xhr","26.5",14,22,8,"32","25",24.9,"0.1"
"De La Cruz, Elly","CIN","2024","adj_xhr","26.9",4,15,10,"40","25",21.4,"3.6"
"Tatis Jr., Fernando","SD","2024","adj_xhr","25.9",8,20,10,"40","25",24.5,"0.5"
"Merrill, Jackson","SD","2024","adj_xhr","22.8",18,24,7,"28","25",25.8,"-0.8"
"Toglia, Michael","COL","2024","adj_xhr","21.9",11,16,9,"36","25",21.5,"3.5"
"Profar, Jurickson","SD","2024","adj_xhr","27",10,15,8,"33.3","24",20.6,"3.4"
"DeJong, Paul","KC","2024","adj_xhr","22.6",11,13,9,"37.5","24",20.3,"3.7"
"Reynolds, Bryan","PIT","2024","adj_xhr","24.6",9,18,10,"41.7","24",24.1,"-0.1"
"Greene, Riley","DET","2024","adj_xhr","22.7",8,22,8,"33.3","24",25.8,"-1.8"
"Castellanos, Nick","PHI","2024","adj_xhr","22.1",8,16,8,"33.3","24",20.4,"3.6"
"Nimmo, Brandon","NYM","2024","adj_xhr","20",7,14,9,"37.5","24",19.2,"4.8"
"Cowser, Colton","BAL","2024","adj_xhr","23",8,15,11,"45.8","24",22.4,"1.6"
"Semien, Marcus","TEX","2024","adj_xhr","22.6",12,29,6,"26.1","23",26.2,"-3.2"
"Tucker, Kyle","HOU","2024","adj_xhr","24.7",9,13,6,"26.1","23",16.7,"6.3"
"Neto, Zach","LAA","2024","adj_xhr","24.7",9,16,8,"34.8","23",22.1,"0.9"
"Chourio, Jackson","MIL","2024","adj_xhr","24",10,20,5,"21.7","23",20,"3.0"
"Pederson, Joc","AZ","2024","adj_xhr","26.1",2,8,15,"65.2","23",21.6,"1.4"
"Doyle, Brenton","COL","2024","adj_xhr","21.3",6,15,11,"47.8","23",20.8,"2.2"
"Santana, Carlos","MIN","2024","adj_xhr","24.2",6,16,10,"43.5","23",23.3,"-0.3"
"Contreras, William","MIL","2024","adj_xhr","26.2",9,22,7,"30.4","23",23.2,"-0.2"
"Freeman, Freddie","LAD","2024","adj_xhr","22",13,17,4,"18.2","22",17.9,"4.1"
"Goldschmidt, Paul","STL","2024","adj_xhr","24",13,17,9,"40.9","22",22.9,"-0.9"
"Carroll, Corbin","AZ","2024","adj_xhr","21.6",12,15,9,"40.9","22",19.7,"2.3"
"Soler, Jorge","ATL","2024","adj_xhr","26.3",9,17,12,"54.5","22",24.2,"-2.2"
"Butler, Lawrence","OAK","2024","adj_xhr","27.4",9,16,5,"22.7","22",16.2,"5.8"
"Raley, Luke","SEA","2024","adj_xhr","20.7",3,15,11,"50","22",22.3,"-0.3"
"Ramos, Heliot","SF","2024","adj_xhr","24.2",6,20,10,"45.5","22",24.9,"-2.9"
"Betts, Mookie","LAD","2024","adj_xhr","22.8",5,18,4,"19","21",16.4,"4.6"
"Busch, Michael","CHC","2024","adj_xhr","21.9",4,14,11,"52.4","21",21.2,"-0.2"
"Smith, Will","LAD","2024","adj_xhr","22",12,15,8,"38.1","21",18.4,"2.6"
"Burleson, Alec","STL","2024","adj_xhr","23.9",11,18,4,"19","21",18.9,"2.1"
"Lowe, Brandon","TB","2024","adj_xhr","24.9",7,17,9,"42.9","21",21.2,"-0.2"
"Duran, Jarren","BOS","2024","adj_xhr","21",16,12,12,"57.1","21",21.8,"-0.8"
"Jeffers, Ryan","MIN","2024","adj_xhr","23.2",4,18,4,"19","21",17.8,"3.2"
"Turner, Trea","PHI","2024","adj_xhr","23.1",4,13,10,"47.6","21",19.2,"1.8"
"Suzuki, Seiya","CHC","2024","adj_xhr","21.9",9,16,7,"33.3","21",19.9,"1.1"
"Morel, Christopher","TB","2024","adj_xhr","26",8,13,11,"52.4","21",21.2,"-0.2"
"De La Cruz, Bryan","PIT","2024","adj_xhr","27.3",11,14,8,"38.1","21",18.5,"2.5"
"Cruz, Oneil","PIT","2024","adj_xhr","26.5",3,15,12,"57.1","21",22.1,"-1.1"
"O'Hoppe, Logan","LAA","2024","adj_xhr","25.1",7,12,8,"40","20",16.8,"3.2"
"Candelario, Jeimer","CIN","2024","adj_xhr","24.8",6,18,4,"20","20",17.1,"2.9"
"Steer, Spencer","CIN","2024","adj_xhr","23.6",10,16,5,"25","20",16.9,"3.1"
"Higashioka, Kyle","SD","2024","adj_xhr","24",7,15,6,"30","20",16.5,"3.5"
"McCutchen, Andrew","PIT","2024","adj_xhr","24.4",7,14,9,"45","20",19.8,"0.2"
"Abrams, CJ","WSH","2024","adj_xhr","24.6",7,16,5,"25","20",17.6,"2.4"
"Benintendi, Andrew","CWS","2024","adj_xhr","24.4",9,10,10,"50","20",18.1,"1.9"
"Bleday, JJ","OAK","2024","adj_xhr","22",8,19,7,"35","20",21.7,"-1.7"
"McMahon, Ryan","COL","2024","adj_xhr","21.8",10,17,5,"25","20",18,"2.0"
"Altuve, Jose","HOU","2024","adj_xhr","24.9",6,12,9,"45","20",17.7,"2.3"
"Adell, Jo","LAA","2024","adj_xhr","23.7",10,10,11,"55","20",17.5,"2.5"
"Conforto, Michael","SF","2024","adj_xhr","22.4",10,16,9,"45","20",20.9,"-0.9"
"Rodríguez, Julio","SEA","2024","adj_xhr","25.8",13,9,13,"65","20",20.6,"-0.6"
"Arozarena, Randy","SEA","2024","adj_xhr","29.7",6,17,10,"50","20",21.6,"-1.6"
"Riley, Austin","ATL","2024","adj_xhr","22.8",11,15,7,"36.8","19",19.8,"-0.8"
"Paredes, Isaac","CHC","2024","adj_xhr","26.3",12,18,4,"21.1","19",17.2,"1.8"
"Bell, Josh","AZ","2024","adj_xhr","24",12,22,4,"21.1","19",21.8,"-2.8"
"Springer, George","TOR","2024","adj_xhr","22.2",6,16,7,"36.8","19",18.6,"0.4"
"Pasquantino, Vinnie","KC","2024","adj_xhr","24",12,14,11,"57.9","19",22.6,"-3.6"
"Carpenter, Kerry","DET","2024","adj_xhr","23.9",7,14,11,"57.9","19",21,"-2.0"
"Gorman, Nolan","STL","2024","adj_xhr","23.3",11,13,7,"36.8","19",18.1,"0.9"
"Vaughn, Andrew","CWS","2024","adj_xhr","21.9",11,20,7,"36.8","19",21.4,"-2.4"
"Rutschman, Adley","BAL","2024","adj_xhr","23.5",8,15,7,"36.8","19",19.7,"-0.7"
"Mullins, Cedric","BAL","2024","adj_xhr","23.4",7,8,8,"42.1","19",15.4,"3.6"
"Stephenson, Tyler","CIN","2024","adj_xhr","22.8",6,12,5,"26.3","19",13.7,"5.3"
"García Jr., Luis","WSH","2024","adj_xhr","23.8",15,13,3,"16.7","18",13.2,"4.8"
"Sánchez, Jesús","MIA","2024","adj_xhr","27.3",5,12,11,"61.1","18",19.6,"-1.6"
"Siri, Jose","TB","2024","adj_xhr","29",7,9,12,"66.7","18",19,"-1.0"
"Buxton, Byron","MIN","2024","adj_xhr","21.7",3,17,7,"38.9","18",18.2,"-0.2"
"Varsho, Daulton","TOR","2024","adj_xhr","20.7",5,13,5,"27.8","18",16,"2.0"
"Westburg, Jordan","BAL","2024","adj_xhr","21.4",4,23,4,"22.2","18",19.3,"-1.3"
"Yastrzemski, Mike","SF","2024","adj_xhr","23.3",19,11,7,"38.9","18",16.5,"1.5"
"Gurriel Jr., Lourdes","AZ","2024","adj_xhr","25.5",12,10,9,"50","18",16.5,"1.5"
"Bellinger, Cody","CHC","2024","adj_xhr","22.9",7,18,6,"33.3","18",18.3,"-0.3"
"Melendez, MJ","KC","2024","adj_xhr","25",9,11,9,"50","18",17.4,"0.6"
"Arcia, Orlando","ATL","2024","adj_xhr","24.4",10,14,4,"23.5","17",15.7,"1.3"
"Harris II, Michael","ATL","2024","adj_xhr","24.3",7,14,6,"35.3","17",16.4,"0.6"
"Cronenworth, Jake","SD","2024","adj_xhr","23.1",11,7,10,"58.8","17",16,"1.0"
"Gelof, Zack","OAK","2024","adj_xhr","24.1",6,6,10,"58.8","17",15.4,"1.6"
"Torres, Gleyber","NYY","2024","adj_xhr","23.4",17,14,1,"6.3","16",11.8,"4.2"
"Diaz, Yainer","HOU","2024","adj_xhr","23.4",7,12,7,"43.8","16",15.7,"0.3"
"Thomas, Lane","CLE","2024","adj_xhr","22",10,9,5,"31.3","16",13,"3.0"
"Lewis, Royce","MIN","2024","adj_xhr","23.9",4,11,9,"56.3","16",15.9,"0.1"
"Polanco, Jorge","SEA","2024","adj_xhr","24.9",6,10,6,"37.5","16",14.8,"1.2"
"Marsh, Brandon","PHI","2024","adj_xhr","21.5",7,12,4,"25","16",12.5,"3.5"
"Arenado, Nolan","STL","2024","adj_xhr","22.6",5,16,2,"12.5","16",14.1,"1.9"
"Swanson, Dansby","CHC","2024","adj_xhr","23.7",12,17,1,"6.3","16",13.6,"2.4"
"Muncy, Max","LAD","2024","adj_xhr","24.7",5,9,8,"50","16",15.4,"0.6"
"Langford, Wyatt","TEX","2024","adj_xhr","21.1",11,12,9,"56.3","16",18.7,"-2.7"
"Lowe, Nathaniel","TEX","2024","adj_xhr","20.9",5,10,6,"37.5","16",13.3,"2.7"
"Vierling, Matt","DET","2024","adj_xhr","21.7",4,14,5,"31.3","16",13.7,"2.3"
"Martinez, J.D.","NYM","2024","adj_xhr","22.7",7,22,3,"18.8","16",18.7,"-2.7"
"Winker, Jesse","NYM","2024","adj_xhr","24.3",6,13,2,"13.3","15",11.9,"3.1"
"Peña, Jeremy","HOU","2024","adj_xhr","22.8",7,11,7,"46.7","15",16,"-1.0"
"India, Jonathan","CIN","2024","adj_xhr","23.9",12,12,4,"26.7","15",11.6,"3.4"
"Kelenic, Jarred","ATL","2024","adj_xhr","21.5",7,11,5,"33.3","15",15,"0.0"
"Abreu, Wilyer","BOS","2024","adj_xhr","25.1",9,9,9,"60","15",16.5,"-1.5"
"Fitzgerald, Tyler","SF","2024","adj_xhr","22",1,11,4,"26.7","15",13.3,"1.7"
"Larnach, Trevor","MIN","2024","adj_xhr","23.3",5,12,6,"40","15",14.6,"0.4"
"O'Hearn, Ryan","BAL","2024","adj_xhr","24.9",5,15,4,"26.7","15",14.2,"0.8"
"Winn, Masyn","STL","2024","adj_xhr","23.7",8,10,6,"40","15",14.2,"0.8"
"Renfroe, Hunter","KC","2024","adj_xhr","23.7",6,11,9,"60","15",17.8,"-2.8"
"Rafaela, Ceddanne","BOS","2024","adj_xhr","22.4",5,15,6,"40","15",16.2,"-1.2"
"Bohm, Alec","PHI","2024","adj_xhr","22.3",11,12,3,"20","15",12.8,"2.2"
"Contreras, Willson","STL","2024","adj_xhr","27.3",4,11,6,"40","15",14.4,"0.6"
"Garver, Mitch","SEA","2024","adj_xhr","26.1",1,11,7,"46.7","15",15.2,"-0.2"
"Fry, David","CLE","2024","adj_xhr","23.5",6,17,2,"13.3","15",16.1,"-1.1"
"d'Arnaud, Travis","ATL","2024","adj_xhr","23.8",2,8,9,"60","15",15.7,"-0.7"
"Donovan, Brendan","STL","2024","adj_xhr","22.1",10,15,4,"28.6","14",15.3,"-1.3"
"Díaz, Yandy","TB","2024","adj_xhr","29.1",14,8,5,"35.7","14",11.8,"2.2"
"Kwan, Steven","CLE","2024","adj_xhr","19.5",3,14,2,"14.3","14",13,"1.0"
"Correa, Carlos","MIN","2024","adj_xhr","25.9",6,7,8,"57.1","14",13.6,"0.4"
"Realmuto, J.T.","PHI","2024","adj_xhr","22.5",5,6,8,"57.1","14",13.8,"0.2"
"Moniak, Mickey","LAA","2024","adj_xhr","22.9",4,10,7,"50","14",14.8,"-0.8"
"Massey, Michael","KC","2024","adj_xhr","21.8",5,12,6,"42.9","14",15.5,"-1.5"
"Robert Jr., Luis","CWS","2024","adj_xhr","25.1",8,8,7,"50","14",14.2,"-0.2"
"Benson, Will","CIN","2024","adj_xhr","24.9",5,11,5,"35.7","14",12.8,"1.2"
"Brown, Seth","OAK","2024","adj_xhr","22.1",6,7,6,"42.9","14",11.8,"2.2"
"Meyers, Jake","HOU","2024","adj_xhr","23.7",10,12,3,"23.1","13",11.1,"1.9"
"Singleton, Jon","HOU","2024","adj_xhr","23.3",5,10,6,"46.2","13",12.4,"0.6"
"Schneider, Davis","TOR","2024","adj_xhr","21",6,11,3,"23.1","13",11.6,"1.4"
"Smith, Josh","TEX","2024","adj_xhr","23.1",3,10,3,"23.1","13",10.8,"2.2"
"Heim, Jonah","TEX","2024","adj_xhr","23.5",6,6,6,"46.2","13",11.1,"1.9"
"Tellez, Rowdy","PIT","2024","adj_xhr","26.7",6,9,4,"30.8","13",10.9,"2.1"
"Bart, Joey","PIT","2024","adj_xhr","24.6",3,8,8,"61.5","13",13.5,"-0.5"
"Mountcastle, Ryan","BAL","2024","adj_xhr","25.1",7,15,5,"38.5","13",16.5,"-3.5"
"Casas, Triston","BOS","2024","adj_xhr","23.9",6,8,6,"46.2","13",12,"1.0"
"Wong, Connor","BOS","2024","adj_xhr","23",7,11,5,"38.5","13",13,"0.0"
"Wells, Austin","NYY","2024","adj_xhr","22.7",2,13,6,"46.2","13",15.9,"-2.9"
"Verdugo, Alex","NYY","2024","adj_xhr","28",8,12,4,"30.8","13",13.6,"-0.6"
"Ruiz, Keibert","WSH","2024","adj_xhr","25.5",3,12,6,"46.2","13",14.9,"-1.9"
"France, Ty","CIN","2024","adj_xhr","25.2",6,11,5,"38.5","13",13.8,"-0.8"
"Friedl, TJ","CIN","2024","adj_xhr","24.1",3,9,3,"23.1","13",10.4,"2.6"
"Wallner, Matt","MIN","2024","adj_xhr","22.8",6,6,9,"69.2","13",13.7,"-0.7"
"Noel, Jhonkensy","CLE","2024","adj_xhr","24.5",3,7,7,"53.8","13",11.8,"1.2"
"Naylor, Bo","CLE","2024","adj_xhr","23.7",2,6,8,"61.5","13",12.9,"0.1"
"Goodman, Hunter","COL","2024","adj_xhr","22.4",2,10,4,"30.8","13",10.6,"2.4"
"Rodgers, Brendan","COL","2024","adj_xhr","23.5",2,12,5,"38.5","13",12.7,"0.3"
"Bauers, Jake","MIL","2024","adj_xhr","25.3",3,8,7,"53.8","13",14.1,"-1.1"
